dune|Denis Villeneuve|Science-fiction, drame|2021-09-15|2 h 35 min|7.5|32021|594|32K|2.4K|11K|L'histoire de Paul Atreides, jeune homme aussi doué que brillant, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers – la seule à même de fournir la...
annette|Leos Carax|Drame, comédie musicale, romance|2021-07-06|2 h 20 min|6.9|11023|211|11K|890|7.1K|Los Angeles, de nos jours. Henry est un comédien de stand-up à l’humour féroce. Ann, une cantatrice de renommée internationale. Ensemble, sous le feu des projecteurs, ils forment un couple épanoui et glamour. La naissance de leur premier enfant, Annette, une fillette mystérieuse au destin...
the_father|Florian Zeller|Drame|2021-05-26|1 h 38 min|7.6|11816|212|12K|897|6.7K|Alors qu’il vieillit et devient de moins en moins autonome, un père refuse l’aide de sa fille. Voyant la situation se dégrader, il commence à douter de ses proches, de son propre esprit et même de ce qui est réel.
le_dernier_duel|Ridley Scott|Drame, historique|2021-10-13|2 h 32 min|7.2|11364|254|11K|598|6.1K|Basé sur des événements réels, le film dévoile d’anciennes hypothèses sur le dernier duel judiciaire connu en France - également nommé « Jugement de Dieu » - entre Jean de Carrouges et Jacques Le Gris, deux amis devenus au fil du temps des rivaux acharnés.
titane|Julia Ducournau|Drame, thriller, Épouvante-horreur|2021-07-14|1 h 48 min|6.3|13732|316|14K|705|6.3K|Après une série de crimes inexpliqués, un père retrouve son fils disparu depuis 10 ans. Titane : Métal hautement résistant à la chaleur et à la corrosion, donnant des alliages très durs.
don_t_look_up_deni_cosmique|Adam McKay|Comédie dramatique, science-fiction|2021-12-24|2 h 18 min|6.9|26269|385|26K|1K|3.4K|Deux piètres astronomes s'embarquent dans une gigantesque tournée médiatique pour prévenir l'humanité qu'une comète se dirige vers la Terre et s'apprête à la détruire.
julie_en_12_chapitres|Joachim Trier|Comédie dramatique, romance|2021-10-13|2 h 08 min|7.4|6040|115|6K|617|4.5K|Oslo, de nos jours. Julie est une jeune femme pleine de ressource, mais à 30 ans, elle cherche encore sa voie. Bien qu’heureuse avec Aksel, un dessinateur à succès, aimant et protecteur, elle refuse l’enfant qu’il désire. Quand Julie le quitte pour Eivind, elle espère, une fois de plus,...
last_night_in_soho|Edgar Wright|Thriller, Épouvante-horreur, drame|2021-10-27|1 h 56 min|6.8|7157|150|7.2K|566|7.4K|Une jeune fille, passionnée par la mode, parvient mystérieusement à voyager dans les années 1960 où elle rencontre son idole, une éblouissante chanteuse en devenir. Mais le Londres des années 1960 n'est pas ce qu'il paraît, et le temps semble se désagréger avec d'obscures conséquences.
nomadland|Chloé Zhao|Drame|2021-06-09|1 h 47 min|6.8|11889|190|12K|552|6.4K|Après l’effondrement économique de la cité ouvrière du Nevada où elle vivait, Fern décide de prendre la route à bord de son van aménagé et d’adopter une vie de nomade des temps modernes, en rupture avec les standards de la société actuelle. De vrais nomades incarnent les camarades et mentors de...
le_sommet_des_dieux|Patrick Imbert|Animation, aventure, drame|2021-09-22|1 h 30 min|7.7|5966|84|6K|664|4.8K|A Katmandou, le reporter japonais Fukamachi croit reconnaître Habu Jôji, cet alpiniste que l'on pensait disparu depuis des années. Il semble tenir entre ses mains un appareil photo qui pourrait changer l'histoire de l'alpinisme. Et si George Mallory et Andrew Irvine étaient les premiers hommes à...
drive_my_car|Ryusuke Hamaguchi|Drame|2021-08-18|2 h 59 min|7.5|4565|111|4.6K|497|6.9K|Alors qu'il n'arrive toujours pas à se remettre d'un drame personnel, Yusuke Kafuku, acteur et metteur en scène de théâtre, accepte de monter Oncle Vania dans un festival, à Hiroshima. Il y fait la connaissance de Misaki, une jeune femme réservée qu'on lui a assignée comme chauffeure. Au fil des...
