licorice_pizza|Paul Thomas Anderson|Comédie dramatique, romance|2022-01-05|2 h 13 min|7.3|11232|206|11K|875|6.5K|1973, dans la région de Los Angeles. Alana Kane et Gary Valentine font connaissance le jour de la photo de classe au lycée du garçon. Alana n'est plus lycéenne, mais tente de trouver sa voie tout en travaillant comme assistante du photographe. Gary, lui, a déjà une expérience d'acteur, ce qu'il...
the_batman|Matt Reeves|Action, drame, policier|2022-03-02|2 h 55 min|7.3|12969|349|13K|942|7.4K|Deux années à arpenter les rues en tant que Batman et à insuffler la peur chez les criminels ont mené Bruce Wayne au coeur des ténèbres de Gotham City. Avec seulement quelques alliés de confiance - Alfred Pennyworth, le lieutenant James Gordon - parmi le réseau corrompu de fonctionnaires et de...
nightmare_alley|Guillermo del Toro|Drame, thriller, film noir|2022-01-19|2 h 30 min|6.7|7609|120|7.6K|306|4.9K|Alors qu'il traverse une mauvaise passe, le charismatique Stanton Carlisle débarque dans une foire itinérante et parvient à s'attirer les bonnes grâces d'une voyante, Zeena et de son mari Pete, une ancienne gloire du mentalisme. S'initiant auprès d'eux, il voit là un moyen de décrocher son ticket...
the_green_knight|David Lowery|Drame, fantastique, romance|2022-01-03|2 h 10 min|6.8|5518|112|5.5K|477|4.7K|Sire Gauvain, chevalier de la table ronde et neveu du Roi Arthur, accepte un défi lancé par un mystérieux chevalier vert : Gauvain doit le décapiter. Le chevalier accepte le défi et en ressort victorieux. Mais le chevalier vert repart avec sa tête sous le bras en lui disant qu'ils devront se...
les_vedettes|Jonathan Barré|Comédie|2022-02-09|1 h 42 min|6.6|4201|68|4.2K|149|2.6K|Daniel, un chanteur raté, travaille dans un magasin d’électroménager. Prêt à tout pour rembourser ses dettes et se retrouver sous le feu des projecteurs, il décide d’utiliser Stéphane, un collègue naïf et prétentieux, pour participer à des jeux télévisés. Alors oui tout les oppose, non ça ne sera...
the_innocents|Eskil Vogt|Épouvante-Horreur, thriller, drame|2022-02-09|1 h 57 min|7.0|2061|44|2.1K|166|2.6K|Dans la quiétude d'une banlieue assoupie par l'été nordique, quatre enfants se découvrent d'étonnants pouvoirs qu'ils convoquent innocemment dans leurs jeux, loin du regard des adultes. Alors qu'ils explorent leurs nouvelles aptitudes dans la forêt et le parc environnants, leurs distractions...
spencer|Pablo Larraín|Drame, biopic|2022-01-17|1 h 57 min|6.4|2653|66|2.7K|119|1.9K|Décembre 1991 : le mariage entre le Prince et la Princesse de Galles est affaibli depuis longtemps. Malgré les rumeurs de divorces et liaisons extra-conjugales qui abondent, la paix est décrétée pour les fêtes de Noël au domaine de Sandrigham. Il y a à boire, à manger et à chasser. Diana connaît...
alerte_rouge|Domee Shi|Animation, aventure, comédie|2022-03-11|1 h 40 min|6.7|2828|60|2.8K|168|935|Les aventures de Meilin Lee, une jeune adolescente de 13 ans, pleine d’assurance, mais tiraillée entre son image de petite fille modèle aux yeux de sa mère hyper protectrice et le chaos de l’adolescence. Et comme si tous les changements qui s’opèrent en elle ne suffisaient pas, chaque fois qu’elle...
the_chef|Philip Barantini|Drame, thriller|2022-01-19|1 h 32 min|7.2|1972|39|2K|118|2.8K|« Magic Friday » : le vendredi avant Noël, la soirée la plus fréquentée de l’année. Dans un restaurant gastronomique de Londres, côté cuisine, à quelques minutes du coup de feu, tout le personnel est en ébullition. Mais les problèmes s’accumulent autour du chef étoilé Andy Jones et de sa brigade....
red_rocket|Sean Baker|Comédie, drame|2022-02-02|2 h 08 min|6.8|1780|45|1.8K|99|2K|Mikey Saber revient dans sa ville natale du Texas après des années de carrière de pornstar à Los Angeles. Il n'y est pas vraiment le bienvenu... Sans argent, sans emploi, il doit retourner vivre chez son ex-femme et sa belle-mère… Pour payer son loyer, il reprend ses petites combines mais une...
