douze_hommes_en_colere|Sidney Lumet|Policier, drame|1957-10-04|1 h 36 min|8.7|47814|551|48K|6.5K|15K|Douze jurés doivent décider du sort d'un jeune immigré, accusé de parricide. Tous le croient coupable sauf un, qui a de sérieux doutes sur l'enquête.
harakiri|Masaki Kobayashi|Action, drame, historique|1963-07-24|2 h 13 min|8.6|7163|97|7.2K|1.4K|12K|Hanshirô Tsugumo, un rônin (samouraï errant) sans travail parmi tant d'autres, décide de frapper à la porte du puissant clan des Ii.
le_bon_la_brute_et_le_truand|Sergio Leone|Western, aventure|1968-03-08|2 h 59 min|8.5|51213|330|51K|5.3K|12K|Un chasseur de primes rejoint deux hommes dans une alliance précaire. Leur but ? Trouver un coffre rempli de pièces d'or dans un cimetière isolé.
Barberousse|Akira Kurosawa|Drame|1978-01-04|3 h 05 min|8.5|4006|85|4K|796|7.1K|Nous sommes à Koishikawa au XIX° siècle. Kyojio Niide, un médecin hargneux mais généreux, décide d'entraîner un jeune apprenti, Noboru Yasumoto.
les_sept_samourais|Akira Kurosawa|Arts martiaux, aventure, drame|1955-11-30|3 h 27 min|8.5|17738|189|18K|2.3K|13K|Dans un Japon médiéval meurtri par les guerres civiles, des bandits martyrisent la population. Les villageois décident d'engager des samouraïs.
il_etait_une_fois_dans_l_ouest|Sergio Leone|Western|1969-08-27|2 h 55 min|8.5|38548|324|39K|3.7K|12K|L'histoire épique d'un mystérieux inconnu avec un harmonica qui s'allie à un desperado pour protéger une belle veuve d'un assassin impitoyable.
il_etait_une_fois_en_amerique|Sergio Leone|Drame, gangster|1984-05-23|3 h 49 min|8.5|28308|263|28K|3.3K|16K|Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se...
le_parrain|Francis Ford Coppola|Policier, drame|1972-10-18|2 h 55 min|8.5|63529|342|64K|5.3K|15K|New York, 1945. Don Vito Corleone règne sur l'une des familles les plus puissantes de la mafia italo-américaine. Virgil Sollozzo, qui dirige la famille Tattaglia, lui propose de s'associer sur un nouveau marché prometteur : le trafic de drogue, mais celui-ci refuse. Don Vito est alors pris pour...
le_trou|Jacques Becker|Policier, drame, thriller|1960-03-18|2 h 12 min|8.4|7488|86|7.5K|1.2K|8.3K|Accusé de tentative de meurtre, Claude est enfermé en prison. Ses 4 compagnons de cellule lui font part de leur désir d'évasion et creusent un tunnel.
Point_limite|Sidney Lumet|Drame, thriller|1965-02-25|1 h 52 min|8.4|3870|76|3.9K|832|6.6K|En pleine guerre froide, dans un climat de tension grandissante, un escadron de bombardiers américains effectue une mission de reconnaissance. A bord, des missiles nucléaires et deux cargaisons de vingt tonnes de bombes à hydrogène. Mais les appareils sont déviés de leur route. Le système de...
le_voyage_de_chihiro|Hayao Miyazaki|Animation, aventure, fantasy|2002-04-10|2 h 05 min|8.4|90468|422|90K|10K|8.9K|Lors du déménagement de sa famille, Chihiro, une fillette de 10 ans, erre dans un monde régi par les dieux, sorcières et monstres.
Entre_le_ciel_et_l_enfer|Akira Kurosawa|Drame, thriller|1976-06-09|2 h 23 min|8.4|3451|60|3.5K|596|5.6K|À Yokohama, un malfaiteur kidnappe un enfant qu'il prend pour le fils d'un industriel japonais. Il s'agit en fait du fils du chauffeur de ce dernier.
